freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.773e+01,2.170e+02,9.824e+00,2.845e+02
1.5,4.531e+01,1.336e+02,2.475e+01,2.036e+02
3.0,1.887e+01,2.569e+01,2.518e+01,6.974e+01
4.6,1.801e+01,3.187e+02,2.454e+01,3.612e+02
6.1,2.017e+01,1.246e+03,2.293e+01,1.289e+03
7.6,2.062e+01,2.107e+03,2.368e+01,2.151e+03
9.1,1.954e+01,3.090e+03,2.308e+01,3.132e+03
10.6,1.788e+01,4.540e+03,2.375e+01,4.581e+03
12.1,1.869e+01,6.396e+03,2.683e+01,6.441e+03
13.7,2.295e+01,8.011e+03,2.932e+01,8.063e+03
15.2,2.137e+01,1.023e+04,3.095e+01,1.028e+04
16.7,2.246e+01,1.306e+04,3.615e+01,1.312e+04
18.2,3.053e+01,1.734e+04,3.841e+01,1.741e+04
19.7,4.237e+01,2.179e+04,3.738e+01,2.187e+04
21.2,6.007e+01,2.648e+04,5.081e+01,2.659e+04
22.8,9.296e+01,3.298e+04,4.752e+01,3.312e+04
24.3,1.850e+02,4.329e+04,4.012e+01,4.351e+04
25.8,3.706e+02,5.944e+04,4.417e+01,5.985e+04
27.3,7.447e+02,8.334e+04,6.640e+01,8.415e+04
28.8,1.313e+03,1.115e+05,1.271e+02,1.129e+05
30.3,2.297e+03,1.409e+05,1.646e+02,1.433e+05
31.9,4.910e+03,1.712e+05,2.175e+02,1.764e+05
33.4,1.147e+04,1.829e+05,2.729e+02,1.947e+05
34.9,2.298e+04,1.711e+05,4.278e+02,1.945e+05
36.4,3.690e+04,1.432e+05,6.498e+02,1.807e+05
37.9,5.666e+04,1.169e+05,9.712e+02,1.745e+05
39.5,6.938e+04,8.583e+04,1.210e+03,1.564e+05
41.0,7.012e+04,5.879e+04,1.311e+03,1.302e+05
42.5,6.228e+04,3.955e+04,1.334e+03,1.032e+05
44.0,5.508e+04,3.161e+04,1.406e+03,8.810e+04
45.5,4.927e+04,2.783e+04,1.600e+03,7.870e+04
47.0,4.610e+04,2.899e+04,1.862e+03,7.695e+04
48.6,5.756e+04,5.026e+04,2.540e+03,1.104e+05
50.1,9.894e+04,1.295e+05,4.423e+03,2.329e+05
51.6,1.341e+05,2.069e+05,5.817e+03,3.468e+05
53.1,1.404e+05,2.225e+05,5.417e+03,3.683e+05
54.6,1.418e+05,2.311e+05,4.716e+03,3.776e+05
56.1,1.309e+05,2.152e+05,4.565e+03,3.506e+05
57.7,1.102e+05,1.846e+05,6.006e+03,3.008e+05
59.2,9.073e+04,1.547e+05,7.696e+03,2.531e+05
60.7,7.829e+04,1.364e+05,7.037e+03,2.217e+05
62.2,6.413e+04,1.228e+05,6.743e+03,1.937e+05
63.7,4.983e+04,1.061e+05,7.445e+03,1.634e+05
65.2,3.473e+04,8.389e+04,6.170e+03,1.248e+05
66.8,2.485e+04,6.684e+04,4.305e+03,9.599e+04
68.3,2.044e+04,5.537e+04,2.833e+03,7.864e+04
69.8,1.800e+04,4.654e+04,2.208e+03,6.675e+04
71.3,1.568e+04,3.839e+04,2.002e+03,5.607e+04
72.8,1.403e+04,3.129e+04,2.142e+03,4.746e+04
74.4,1.256e+04,2.588e+04,2.591e+03,4.103e+04
75.9,1.257e+04,2.763e+04,3.033e+03,4.323e+04
77.4,1.311e+04,2.973e+04,1.950e+03,4.479e+04
78.9,1.232e+04,3.443e+04,1.346e+03,4.809e+04
80.4,1.113e+04,3.911e+04,1.128e+03,5.137e+04
81.9,9.109e+03,3.968e+04,1.015e+03,4.981e+04
83.5,7.406e+03,4.492e+04,1.012e+03,5.333e+04
85.0,6.563e+03,5.717e+04,1.076e+03,6.481e+04
86.5,5.713e+03,6.372e+04,1.198e+03,7.063e+04
88.0,4.783e+03,6.246e+04,1.310e+03,6.856e+04
89.5,4.212e+03,6.511e+04,1.321e+03,7.064e+04
91.0,3.973e+03,7.287e+04,1.496e+03,7.834e+04
92.6,4.089e+03,8.008e+04,1.937e+03,8.611e+04
94.1,4.245e+03,8.461e+04,2.382e+03,9.124e+04
95.6,4.279e+03,8.995e+04,2.548e+03,9.678e+04
97.1,4.338e+03,8.933e+04,2.466e+03,9.613e+04
98.6,4.171e+03,8.350e+04,2.339e+03,9.001e+04
100.1,4.187e+03,8.108e+04,2.668e+03,8.794e+04
101.7,4.285e+03,7.883e+04,3.117e+03,8.623e+04
103.2,3.911e+03,7.254e+04,3.151e+03,7.960e+04
104.7,3.230e+03,6.497e+04,2.896e+03,7.109e+04
106.2,2.628e+03,5.804e+04,2.523e+03,6.319e+04
107.7,2.232e+03,5.063e+04,2.114e+03,5.498e+04
109.3,1.957e+03,4.278e+04,1.807e+03,4.655e+04
110.8,1.731e+03,3.667e+04,1.733e+03,4.013e+04
112.3,1.442e+03,3.258e+04,1.636e+03,3.566e+04
113.8,1.081e+03,3.098e+04,1.433e+03,3.350e+04
115.3,7.991e+02,3.321e+04,1.194e+03,3.521e+04
116.8,8.042e+02,3.728e+04,9.638e+02,3.904e+04
118.4,1.054e+03,4.346e+04,8.744e+02,4.539e+04
119.9,1.527e+03,5.163e+04,9.430e+02,5.410e+04
121.4,2.241e+03,6.237e+04,1.024e+03,6.564e+04
122.9,3.049e+03,7.424e+04,9.744e+02,7.827e+04
124.4,3.872e+03,8.543e+04,8.733e+02,9.018e+04
125.9,4.697e+03,9.230e+04,1.114e+03,9.811e+04
127.5,4.952e+03,9.447e+04,1.107e+03,1.005e+05
129.0,4.796e+03,9.472e+04,7.702e+02,1.003e+05
130.5,4.023e+03,8.574e+04,7.691e+02,9.053e+04
132.0,2.647e+03,6.341e+04,8.433e+02,6.690e+04
133.5,7.757e+02,1.993e+04,5.253e+02,2.123e+04
135.0,7.818e+01,1.729e+03,3.855e+02,2.192e+03
136.6,7.916e+01,1.376e+03,4.123e+02,1.868e+03
138.1,9.247e+01,1.463e+03,4.374e+02,1.993e+03
139.6,9.942e+01,1.434e+03,4.563e+02,1.990e+03
141.1,1.134e+02,1.410e+03,4.190e+02,1.943e+03
142.6,1.306e+02,1.392e+03,3.845e+02,1.907e+03
144.1,1.537e+02,1.273e+03,3.587e+02,1.785e+03
145.7,2.060e+02,1.423e+03,3.521e+02,1.981e+03
147.2,2.712e+02,1.965e+03,4.394e+02,2.675e+03
148.7,3.763e+02,3.237e+03,7.963e+02,4.410e+03
150.2,5.879e+02,5.118e+03,1.760e+03,7.466e+03
151.7,8.177e+02,5.804e+03,3.024e+03,9.646e+03
153.3,1.002e+03,7.566e+03,4.350e+03,1.292e+04
154.8,1.122e+03,1.176e+04,5.896e+03,1.877e+04
156.3,1.228e+03,1.196e+04,6.027e+03,1.921e+04
157.8,1.413e+03,1.087e+04,6.421e+03,1.871e+04
159.3,1.850e+03,1.243e+04,8.150e+03,2.243e+04
160.8,2.476e+03,1.342e+04,1.002e+04,2.592e+04
162.4,3.107e+03,1.410e+04,1.181e+04,2.901e+04
163.9,3.498e+03,1.341e+04,1.246e+04,2.937e+04
165.4,3.782e+03,1.085e+04,1.210e+04,2.673e+04
166.9,3.984e+03,8.296e+03,1.121e+04,2.349e+04
168.4,3.645e+03,6.141e+03,9.280e+03,1.907e+04
169.9,3.123e+03,4.503e+03,7.137e+03,1.476e+04
171.5,2.760e+03,2.906e+03,5.675e+03,1.134e+04
173.0,2.370e+03,1.809e+03,4.442e+03,8.621e+03
174.5,2.139e+03,1.409e+03,3.781e+03,7.329e+03
176.0,1.908e+03,1.476e+03,3.351e+03,6.734e+03
177.5,1.602e+03,1.745e+03,2.762e+03,6.110e+03
179.0,1.362e+03,1.856e+03,2.216e+03,5.433e+03
180.6,1.279e+03,2.144e+03,1.792e+03,5.215e+03
182.1,1.306e+03,2.829e+03,1.542e+03,5.677e+03
183.6,1.443e+03,3.641e+03,1.600e+03,6.684e+03
185.1,1.705e+03,4.265e+03,1.934e+03,7.904e+03
186.6,2.095e+03,4.754e+03,2.489e+03,9.338e+03
188.2,2.557e+03,5.069e+03,3.149e+03,1.077e+04
189.7,2.886e+03,5.360e+03,3.554e+03,1.180e+04
191.2,3.153e+03,5.466e+03,3.921e+03,1.254e+04
192.7,3.383e+03,5.906e+03,4.184e+03,1.347e+04
194.2,3.581e+03,6.140e+03,4.424e+03,1.414e+04
195.7,3.902e+03,6.300e+03,4.799e+03,1.500e+04
197.3,4.317e+03,6.471e+03,5.253e+03,1.604e+04
198.8,5.009e+03,6.355e+03,6.479e+03,1.784e+04
