freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.885e+01,2.419e+01,5.625e+02,6.156e+02
1.5,5.413e+01,6.750e+01,3.454e+02,4.670e+02
3.0,5.101e+01,6.864e+01,4.845e+01,1.681e+02
4.6,4.453e+01,7.804e+01,3.027e+02,4.253e+02
6.1,4.505e+01,6.781e+01,1.110e+03,1.223e+03
7.6,5.223e+01,7.252e+01,1.870e+03,1.994e+03
9.1,5.335e+01,7.952e+01,2.720e+03,2.853e+03
10.6,4.594e+01,8.095e+01,3.733e+03,3.860e+03
12.1,4.764e+01,8.051e+01,4.854e+03,4.982e+03
13.7,5.474e+01,8.368e+01,6.282e+03,6.421e+03
15.2,5.371e+01,7.241e+01,8.170e+03,8.296e+03
16.7,5.411e+01,6.601e+01,1.044e+04,1.056e+04
18.2,5.925e+01,7.086e+01,1.307e+04,1.320e+04
19.7,6.260e+01,6.271e+01,1.583e+04,1.596e+04
21.2,5.926e+01,6.963e+01,1.771e+04,1.783e+04
22.8,5.694e+01,8.057e+01,1.909e+04,1.923e+04
24.3,6.179e+01,8.136e+01,2.188e+04,2.203e+04
25.8,6.727e+01,7.886e+01,2.629e+04,2.644e+04
27.3,6.747e+01,7.497e+01,3.200e+04,3.214e+04
28.8,7.042e+01,7.120e+01,3.871e+04,3.885e+04
30.3,6.592e+01,6.345e+01,4.308e+04,4.320e+04
31.9,5.962e+01,6.801e+01,4.844e+04,4.857e+04
33.4,6.194e+01,9.035e+01,5.568e+04,5.583e+04
34.9,6.368e+01,9.860e+01,6.596e+04,6.612e+04
36.4,5.988e+01,1.126e+02,8.115e+04,8.133e+04
37.9,5.950e+01,1.510e+02,1.012e+05,1.014e+05
39.4,6.381e+01,2.368e+02,1.280e+05,1.283e+05
41.0,9.731e+01,4.444e+02,1.641e+05,1.646e+05
42.5,1.452e+02,6.667e+02,2.051e+05,2.059e+05
44.0,2.603e+02,9.193e+02,2.562e+05,2.574e+05
45.5,9.384e+02,1.449e+03,3.413e+05,3.437e+05
47.0,4.471e+03,4.111e+03,4.793e+05,4.879e+05
48.5,1.377e+04,1.103e+04,6.783e+05,7.031e+05
50.1,2.782e+04,2.130e+04,9.973e+05,1.046e+06
51.6,4.603e+04,3.151e+04,1.410e+06,1.488e+06
53.1,6.690e+04,3.651e+04,1.855e+06,1.958e+06
54.6,6.697e+04,2.984e+04,2.086e+06,2.183e+06
56.1,5.353e+04,2.173e+04,2.038e+06,2.114e+06
57.6,3.639e+04,1.650e+04,1.799e+06,1.852e+06
59.2,2.086e+04,1.321e+04,1.413e+06,1.447e+06
60.7,1.200e+04,1.072e+04,1.037e+06,1.060e+06
62.2,7.229e+03,8.810e+03,7.510e+05,7.671e+05
63.7,3.574e+03,8.177e+03,5.578e+05,5.696e+05
65.2,1.846e+03,7.953e+03,4.186e+05,4.284e+05
66.8,1.076e+03,6.583e+03,3.308e+05,3.385e+05
68.3,4.985e+02,4.824e+03,2.652e+05,2.706e+05
69.8,2.902e+02,3.379e+03,2.084e+05,2.121e+05
71.3,3.203e+02,2.226e+03,1.541e+05,1.567e+05
72.8,3.660e+02,1.412e+03,1.068e+05,1.086e+05
74.3,3.535e+02,1.223e+03,7.667e+04,7.824e+04
75.9,4.603e+02,1.193e+03,5.905e+04,6.070e+04
77.4,4.860e+02,1.328e+03,4.550e+04,4.732e+04
78.9,4.161e+02,1.825e+03,3.319e+04,3.543e+04
80.4,4.830e+02,3.038e+03,3.613e+04,3.965e+04
81.9,6.818e+02,3.896e+03,5.290e+04,5.748e+04
83.4,1.118e+03,4.359e+03,8.791e+04,9.338e+04
85.0,2.252e+03,7.537e+03,1.383e+05,1.481e+05
86.5,4.309e+03,1.414e+04,1.875e+05,2.059e+05
88.0,6.497e+03,1.756e+04,2.326e+05,2.567e+05
89.5,8.499e+03,1.584e+04,2.445e+05,2.688e+05
91.0,1.016e+04,1.343e+04,2.519e+05,2.755e+05
92.5,1.077e+04,1.401e+04,2.883e+05,3.131e+05
94.1,1.063e+04,1.720e+04,3.256e+05,3.535e+05
95.6,1.014e+04,2.054e+04,3.345e+05,3.652e+05
97.1,9.699e+03,2.365e+04,3.124e+05,3.458e+05
98.6,9.438e+03,2.651e+04,2.747e+05,3.107e+05
100.1,9.252e+03,3.065e+04,2.455e+05,2.854e+05
101.6,8.205e+03,3.469e+04,2.162e+05,2.591e+05
103.2,7.804e+03,3.824e+04,1.909e+05,2.369e+05
104.7,8.264e+03,4.140e+04,1.744e+05,2.241e+05
106.2,9.127e+03,4.508e+04,1.602e+05,2.144e+05
107.7,1.002e+04,5.137e+04,1.475e+05,2.089e+05
109.2,9.183e+03,5.351e+04,1.372e+05,1.999e+05
110.7,7.077e+03,5.353e+04,1.323e+05,1.929e+05
112.3,5.300e+03,5.297e+04,1.270e+05,1.853e+05
113.8,4.198e+03,5.157e+04,1.232e+05,1.789e+05
115.3,4.170e+03,5.142e+04,1.216e+05,1.772e+05
116.8,4.864e+03,5.193e+04,1.201e+05,1.769e+05
118.3,7.030e+03,5.276e+04,1.204e+05,1.802e+05
119.8,1.030e+04,5.352e+04,1.237e+05,1.875e+05
121.4,1.264e+04,5.223e+04,1.218e+05,1.867e+05
122.9,1.386e+04,4.962e+04,1.146e+05,1.781e+05
124.4,1.468e+04,5.292e+04,1.096e+05,1.772e+05
125.9,1.484e+04,5.795e+04,1.036e+05,1.764e+05
127.4,1.532e+04,6.376e+04,9.809e+04,1.772e+05
129.0,1.688e+04,6.613e+04,9.374e+04,1.768e+05
130.5,1.643e+04,5.763e+04,8.116e+04,1.552e+05
132.0,1.310e+04,4.071e+04,6.201e+04,1.158e+05
133.5,9.213e+03,1.467e+04,3.419e+04,5.807e+04
135.0,7.535e+03,4.313e+03,2.215e+04,3.399e+04
136.5,6.749e+03,3.980e+03,2.156e+04,3.229e+04
138.1,6.421e+03,3.526e+03,2.310e+04,3.305e+04
139.6,4.710e+03,3.255e+03,1.944e+04,2.741e+04
141.1,3.418e+03,3.267e+03,1.573e+04,2.242e+04
142.6,3.467e+03,3.685e+03,1.475e+04,2.190e+04
144.1,3.492e+03,3.851e+03,1.368e+04,2.103e+04
145.6,3.321e+03,3.481e+03,1.226e+04,1.906e+04
147.2,3.426e+03,2.685e+03,1.144e+04,1.755e+04
148.7,3.646e+03,2.507e+03,1.087e+04,1.702e+04
150.2,4.139e+03,3.095e+03,9.565e+03,1.680e+04
151.7,5.490e+03,4.352e+03,8.418e+03,1.826e+04
153.2,9.117e+03,6.883e+03,8.816e+03,2.482e+04
154.7,1.648e+04,1.129e+04,1.340e+04,4.118e+04
156.3,2.197e+04,1.301e+04,1.956e+04,5.454e+04
157.8,2.392e+04,1.224e+04,2.458e+04,6.073e+04
159.3,2.867e+04,1.092e+04,3.332e+04,7.290e+04
160.8,2.933e+04,9.899e+03,3.687e+04,7.610e+04
162.3,2.900e+04,1.205e+04,3.921e+04,8.026e+04
163.8,2.909e+04,1.569e+04,4.110e+04,8.587e+04
165.4,2.747e+04,1.734e+04,3.967e+04,8.447e+04
166.9,2.701e+04,1.807e+04,3.904e+04,8.411e+04
168.4,2.618e+04,1.638e+04,3.917e+04,8.174e+04
169.9,2.517e+04,1.383e+04,3.957e+04,7.857e+04
171.4,2.268e+04,1.246e+04,3.521e+04,7.035e+04
172.9,2.015e+04,1.216e+04,2.858e+04,6.089e+04
174.5,2.041e+04,1.283e+04,2.644e+04,5.967e+04
176.0,2.679e+04,1.768e+04,3.198e+04,7.645e+04
177.5,2.774e+04,1.986e+04,3.357e+04,8.117e+04
179.0,2.944e+04,2.133e+04,4.034e+04,9.111e+04
180.5,3.880e+04,2.685e+04,5.592e+04,1.216e+05
182.0,4.929e+04,3.331e+04,7.198e+04,1.546e+05
183.6,6.597e+04,4.138e+04,9.723e+04,2.046e+05
185.1,8.768e+04,5.268e+04,1.276e+05,2.679e+05
186.6,1.042e+05,5.948e+04,1.498e+05,3.134e+05
188.1,1.151e+05,6.210e+04,1.655e+05,3.427e+05
189.6,1.217e+05,6.327e+04,1.743e+05,3.593e+05
191.2,1.227e+05,6.232e+04,1.726e+05,3.576e+05
192.7,1.211e+05,6.026e+04,1.682e+05,3.495e+05
194.2,1.104e+05,5.370e+04,1.523e+05,3.164e+05
195.7,8.899e+04,4.111e+04,1.236e+05,2.537e+05
197.2,7.247e+04,3.165e+04,1.031e+05,2.072e+05
198.7,6.704e+04,2.753e+04,9.575e+04,1.903e+05
