freq,psd_x,psd_y,psd_z,psd_xyz
150.7,4.486e+03,6.796e+03,5.948e+03,1.723e+04
152.2,5.287e+03,8.073e+03,9.147e+03,2.251e+04
153.7,5.260e+03,8.886e+03,1.185e+04,2.599e+04
155.2,4.581e+03,1.038e+04,1.325e+04,2.821e+04
156.8,3.346e+03,1.359e+04,1.365e+04,3.059e+04
158.3,2.380e+03,1.821e+04,1.451e+04,3.510e+04
159.8,2.160e+03,2.390e+04,1.639e+04,4.245e+04
161.3,2.717e+03,2.836e+04,1.885e+04,4.993e+04
162.9,4.623e+03,3.192e+04,2.428e+04,6.082e+04
164.4,7.138e+03,3.325e+04,3.031e+04,7.070e+04
165.9,9.111e+03,3.068e+04,3.352e+04,7.331e+04
167.4,9.231e+03,2.531e+04,3.201e+04,6.655e+04
168.9,8.164e+03,2.034e+04,2.760e+04,5.611e+04
170.5,7.577e+03,1.836e+04,2.539e+04,5.133e+04
172.0,6.554e+03,1.434e+04,2.152e+04,4.241e+04
173.5,6.420e+03,1.133e+04,2.028e+04,3.803e+04
175.0,5.869e+03,9.621e+03,1.858e+04,3.407e+04
176.6,5.368e+03,8.863e+03,1.704e+04,3.127e+04
178.1,4.835e+03,8.128e+03,1.493e+04,2.790e+04
179.6,4.271e+03,7.798e+03,1.302e+04,2.509e+04
181.1,4.107e+03,8.415e+03,1.270e+04,2.522e+04
182.6,4.491e+03,9.319e+03,1.203e+04,2.584e+04
184.2,5.235e+03,1.081e+04,1.224e+04,2.829e+04
185.7,6.015e+03,1.142e+04,1.303e+04,3.047e+04
187.2,6.534e+03,1.121e+04,1.316e+04,3.091e+04
188.7,7.710e+03,1.090e+04,1.401e+04,3.262e+04
190.2,8.575e+03,1.047e+04,1.381e+04,3.285e+04
191.8,9.261e+03,9.695e+03,1.396e+04,3.292e+04
193.3,1.065e+04,8.804e+03,1.523e+04,3.468e+04
194.8,1.141e+04,8.622e+03,1.621e+04,3.624e+04
196.3,1.034e+04,9.141e+03,1.481e+04,3.429e+04
197.9,8.734e+03,9.904e+03,1.248e+04,3.112e+04
199.4,7.345e+03,1.014e+04,1.035e+04,2.783e+04
