freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.605e+01,2.880e+02,1.303e+01,3.671e+02
1.5,4.948e+01,1.745e+02,2.353e+01,2.475e+02
3.0,1.588e+01,2.692e+01,2.100e+01,6.379e+01
4.6,1.615e+01,3.281e+02,2.081e+01,3.651e+02
6.1,1.711e+01,1.273e+03,1.982e+01,1.310e+03
7.6,1.699e+01,2.180e+03,2.134e+01,2.218e+03
9.1,1.612e+01,3.287e+03,2.204e+01,3.325e+03
10.6,1.562e+01,4.805e+03,2.267e+01,4.843e+03
12.2,1.646e+01,6.177e+03,3.017e+01,6.224e+03
13.7,1.687e+01,7.733e+03,2.972e+01,7.780e+03
15.2,1.725e+01,1.030e+04,3.011e+01,1.034e+04
16.7,2.056e+01,1.350e+04,3.898e+01,1.356e+04
18.2,3.126e+01,1.755e+04,5.054e+01,1.763e+04
19.8,4.225e+01,2.230e+04,7.631e+01,2.242e+04
21.3,5.686e+01,2.922e+04,8.815e+01,2.936e+04
22.8,9.792e+01,3.912e+04,1.284e+02,3.935e+04
24.3,1.660e+02,5.048e+04,3.059e+02,5.095e+04
25.8,2.951e+02,6.204e+04,4.946e+02,6.283e+04
27.4,5.959e+02,8.342e+04,5.411e+02,8.456e+04
28.9,1.167e+03,1.188e+05,8.012e+02,1.207e+05
30.4,2.544e+03,1.745e+05,1.251e+03,1.783e+05
31.9,6.480e+03,2.492e+05,1.757e+03,2.575e+05
33.4,1.648e+04,3.078e+05,1.926e+03,3.263e+05
35.0,3.338e+04,3.378e+05,1.545e+03,3.727e+05
36.5,4.693e+04,3.270e+05,9.954e+02,3.749e+05
38.0,5.860e+04,2.914e+05,5.259e+02,3.505e+05
39.5,6.458e+04,2.568e+05,4.144e+02,3.218e+05
41.0,6.312e+04,2.077e+05,2.134e+02,2.711e+05
42.6,5.661e+04,1.679e+05,1.999e+02,2.247e+05
44.1,5.355e+04,1.293e+05,3.500e+02,1.832e+05
45.6,4.827e+04,8.810e+04,5.739e+02,1.369e+05
47.1,5.299e+04,6.672e+04,8.470e+02,1.206e+05
48.6,9.277e+04,7.946e+04,1.037e+03,1.733e+05
50.2,1.897e+05,2.062e+05,3.094e+03,3.990e+05
51.7,2.359e+05,3.253e+05,9.521e+03,5.708e+05
53.2,2.071e+05,3.206e+05,1.784e+04,5.455e+05
54.7,1.779e+05,2.747e+05,2.446e+04,4.771e+05
56.2,1.408e+05,2.352e+05,2.678e+04,4.028e+05
57.8,1.004e+05,2.056e+05,2.385e+04,3.298e+05
59.3,6.991e+04,1.732e+05,2.105e+04,2.642e+05
60.8,5.840e+04,1.598e+05,2.026e+04,2.384e+05
62.3,4.959e+04,1.436e+05,1.728e+04,2.105e+05
63.8,3.818e+04,1.181e+05,1.197e+04,1.682e+05
65.4,2.974e+04,9.835e+04,6.382e+03,1.345e+05
66.9,2.476e+04,9.200e+04,3.392e+03,1.202e+05
68.4,2.396e+04,9.691e+04,3.085e+03,1.240e+05
69.9,2.434e+04,1.044e+05,3.435e+03,1.322e+05
71.4,2.243e+04,1.019e+05,3.883e+03,1.282e+05
73.0,2.034e+04,9.811e+04,3.620e+03,1.221e+05
74.5,1.754e+04,9.242e+04,2.708e+03,1.127e+05
76.0,1.374e+04,7.809e+04,1.673e+03,9.350e+04
77.5,9.514e+03,5.955e+04,1.550e+03,7.062e+04
79.0,8.841e+03,6.563e+04,1.399e+03,7.587e+04
80.5,9.774e+03,7.958e+04,1.194e+03,9.054e+04
82.1,9.659e+03,8.602e+04,1.461e+03,9.714e+04
83.6,8.062e+03,8.277e+04,1.652e+03,9.249e+04
85.1,6.429e+03,7.970e+04,1.795e+03,8.793e+04
86.6,4.871e+03,8.154e+04,2.059e+03,8.847e+04
88.1,3.792e+03,8.168e+04,2.594e+03,8.807e+04
89.7,3.037e+03,7.827e+04,3.103e+03,8.441e+04
91.2,2.645e+03,7.285e+04,2.991e+03,7.849e+04
92.7,2.397e+03,6.894e+04,3.741e+03,7.507e+04
94.2,2.193e+03,6.696e+04,5.697e+03,7.485e+04
95.7,2.183e+03,6.555e+04,7.303e+03,7.503e+04
97.3,2.247e+03,6.418e+04,8.535e+03,7.496e+04
98.8,2.494e+03,6.482e+04,8.684e+03,7.600e+04
100.3,2.356e+03,6.322e+04,8.484e+03,7.406e+04
101.8,2.284e+03,6.106e+04,7.827e+03,7.117e+04
103.3,2.241e+03,5.929e+04,7.095e+03,6.863e+04
104.9,1.931e+03,5.585e+04,6.769e+03,6.455e+04
106.4,1.531e+03,5.153e+04,6.767e+03,5.982e+04
