freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.773e+01,1.748e+01,6.011e+02,6.363e+02
1.5,2.593e+01,3.216e+01,3.586e+02,4.166e+02
3.0,1.853e+01,2.852e+01,3.307e+01,8.012e+01
4.6,1.809e+01,3.371e+01,2.923e+02,3.441e+02
6.1,2.018e+01,3.547e+01,1.111e+03,1.167e+03
7.6,2.148e+01,3.353e+01,1.874e+03,1.929e+03
9.1,1.797e+01,3.117e+01,2.744e+03,2.793e+03
10.7,1.895e+01,3.156e+01,3.751e+03,3.801e+03
12.2,2.044e+01,3.586e+01,4.902e+03,4.959e+03
13.7,2.189e+01,3.620e+01,6.372e+03,6.430e+03
15.2,2.419e+01,3.655e+01,8.216e+03,8.277e+03
16.7,2.344e+01,3.538e+01,1.036e+04,1.042e+04
18.3,2.791e+01,3.635e+01,1.299e+04,1.306e+04
19.8,2.984e+01,3.938e+01,1.602e+04,1.608e+04
21.3,3.266e+01,4.090e+01,1.801e+04,1.809e+04
22.8,2.793e+01,3.391e+01,1.921e+04,1.927e+04
24.4,2.512e+01,3.158e+01,2.218e+04,2.223e+04
25.9,2.979e+01,3.986e+01,2.676e+04,2.683e+04
27.4,3.433e+01,4.814e+01,3.251e+04,3.259e+04
28.9,3.648e+01,5.142e+01,3.906e+04,3.915e+04
30.4,3.513e+01,4.831e+01,4.367e+04,4.376e+04
32.0,2.901e+01,4.847e+01,4.869e+04,4.877e+04
33.5,2.901e+01,5.453e+01,5.571e+04,5.579e+04
35.0,2.892e+01,7.411e+01,6.474e+04,6.484e+04
36.5,2.551e+01,9.107e+01,7.784e+04,7.796e+04
38.0,2.998e+01,9.774e+01,9.509e+04,9.522e+04
39.6,4.052e+01,1.109e+02,1.163e+05,1.165e+05
41.1,6.931e+01,1.484e+02,1.426e+05,1.428e+05
42.6,1.088e+02,3.104e+02,1.796e+05,1.801e+05
44.1,2.292e+02,5.777e+02,2.304e+05,2.312e+05
45.7,1.224e+03,8.234e+02,2.940e+05,2.961e+05
47.2,4.155e+03,2.053e+03,3.816e+05,3.878e+05
48.7,1.126e+04,5.868e+03,5.136e+05,5.307e+05
50.2,1.794e+04,1.077e+04,7.781e+05,8.068e+05
51.7,2.423e+04,2.363e+04,1.204e+06,1.251e+06
53.3,4.333e+04,5.667e+04,1.886e+06,1.986e+06
54.8,5.714e+04,8.082e+04,2.377e+06,2.515e+06
56.3,4.039e+04,5.852e+04,2.292e+06,2.391e+06
57.8,2.328e+04,3.529e+04,2.017e+06,2.075e+06
59.4,1.440e+04,2.293e+04,1.684e+06,1.722e+06
60.9,1.107e+04,1.302e+04,1.193e+06,1.217e+06
62.4,8.048e+03,9.776e+03,7.764e+05,7.942e+05
63.9,4.401e+03,8.736e+03,5.272e+05,5.403e+05
65.4,2.721e+03,6.291e+03,3.957e+05,4.047e+05
67.0,1.810e+03,3.193e+03,3.181e+05,3.231e+05
68.5,1.432e+03,9.984e+02,2.563e+05,2.588e+05
70.0,1.063e+03,4.137e+02,2.164e+05,2.178e+05
71.5,8.452e+02,3.141e+02,1.735e+05,1.747e+05
73.1,6.739e+02,5.117e+02,1.432e+05,1.444e+05
74.6,5.234e+02,5.198e+02,1.189e+05,1.199e+05
76.1,4.540e+02,3.893e+02,8.536e+04,8.620e+04
77.6,3.578e+02,3.566e+02,5.631e+04,5.703e+04
79.1,2.310e+02,3.979e+02,3.615e+04,3.678e+04
80.7,4.310e+02,8.897e+02,3.472e+04,3.604e+04
82.2,5.116e+02,1.801e+03,4.606e+04,4.837e+04
83.7,4.951e+02,2.585e+03,5.284e+04,5.592e+04
85.2,7.745e+02,4.794e+03,5.269e+04,5.826e+04
86.8,1.535e+03,7.962e+03,7.503e+04,8.453e+04
88.3,2.687e+03,6.196e+03,1.331e+05,1.420e+05
89.8,3.987e+03,4.498e+03,1.870e+05,1.955e+05
91.3,5.417e+03,6.486e+03,2.163e+05,2.282e+05
92.8,6.049e+03,9.351e+03,2.365e+05,2.519e+05
94.4,6.398e+03,1.463e+04,2.576e+05,2.787e+05
95.9,7.078e+03,1.682e+04,2.719e+05,2.958e+05
97.4,8.523e+03,1.809e+04,2.706e+05,2.972e+05
98.9,1.017e+04,1.921e+04,2.565e+05,2.858e+05
100.5,1.193e+04,1.962e+04,2.346e+05,2.661e+05
102.0,1.272e+04,1.827e+04,2.146e+05,2.456e+05
103.5,1.278e+04,1.714e+04,1.968e+05,2.268e+05
105.0,1.210e+04,1.564e+04,1.780e+05,2.058e+05
106.5,1.003e+04,1.284e+04,1.558e+05,1.787e+05
108.1,7.585e+03,1.174e+04,1.414e+05,1.607e+05
109.6,6.121e+03,1.323e+04,1.335e+05,1.529e+05
111.1,5.029e+03,1.397e+04,1.228e+05,1.418e+05
112.6,3.999e+03,1.294e+04,1.087e+05,1.256e+05
114.1,3.095e+03,1.204e+04,9.986e+04,1.150e+05
115.7,3.210e+03,1.264e+04,9.592e+04,1.118e+05
117.2,6.244e+03,1.498e+04,1.005e+05,1.218e+05
118.7,1.053e+04,1.696e+04,1.092e+05,1.367e+05
120.2,1.328e+04,1.737e+04,1.114e+05,1.420e+05
121.8,1.541e+04,1.773e+04,1.097e+05,1.429e+05
123.3,1.712e+04,1.801e+04,1.063e+05,1.414e+05
124.8,1.769e+04,1.772e+04,9.745e+04,1.329e+05
126.3,1.798e+04,1.724e+04,8.571e+04,1.209e+05
127.8,1.842e+04,1.696e+04,7.480e+04,1.102e+05
129.4,1.860e+04,1.661e+04,6.442e+04,9.963e+04
130.9,1.762e+04,1.475e+04,5.463e+04,8.700e+04
132.4,1.363e+04,1.062e+04,3.938e+04,6.363e+04
133.9,6.520e+03,4.391e+03,1.810e+04,2.901e+04
135.5,3.964e+03,2.410e+03,1.199e+04,1.837e+04
137.0,3.374e+03,1.841e+03,1.250e+04,1.771e+04
138.5,2.442e+03,1.421e+03,1.108e+04,1.494e+04
140.0,1.779e+03,1.420e+03,9.097e+03,1.230e+04
141.5,1.492e+03,1.552e+03,7.532e+03,1.058e+04
143.1,9.541e+02,1.437e+03,5.368e+03,7.760e+03
144.6,8.683e+02,1.541e+03,5.187e+03,7.597e+03
146.1,1.183e+03,1.799e+03,6.386e+03,9.368e+03
147.6,1.770e+03,2.330e+03,7.757e+03,1.186e+04
149.2,2.993e+03,2.708e+03,1.227e+04,1.797e+04
150.7,4.130e+03,2.571e+03,1.593e+04,2.263e+04
152.2,3.445e+03,1.989e+03,1.320e+04,1.864e+04
153.7,2.624e+03,1.718e+03,1.072e+04,1.506e+04
155.2,2.279e+03,1.549e+03,9.657e+03,1.349e+04
156.8,2.802e+03,1.234e+03,9.509e+03,1.354e+04
158.3,5.424e+03,1.565e+03,1.160e+04,1.859e+04
159.8,1.416e+04,4.105e+03,2.341e+04,4.167e+04
161.3,2.676e+04,7.844e+03,4.242e+04,7.702e+04
162.9,2.944e+04,8.230e+03,4.817e+04,8.584e+04
164.4,3.233e+04,7.996e+03,5.579e+04,9.612e+04
165.9,3.463e+04,9.056e+03,6.171e+04,1.054e+05
167.4,3.351e+04,1.155e+04,5.947e+04,1.045e+05
168.9,2.906e+04,1.299e+04,5.123e+04,9.327e+04
170.5,2.495e+04,1.390e+04,4.371e+04,8.256e+04
172.0,2.302e+04,1.542e+04,3.873e+04,7.717e+04
173.5,2.124e+04,1.673e+04,3.409e+04,7.206e+04
175.0,1.312e+04,1.491e+04,1.951e+04,4.754e+04
176.5,7.236e+03,9.616e+03,1.383e+04,3.069e+04
178.1,1.128e+04,1.138e+04,2.181e+04,4.447e+04
179.6,1.757e+04,1.480e+04,3.180e+04,6.416e+04
181.1,2.419e+04,1.883e+04,4.159e+04,8.461e+04
182.6,3.020e+04,2.335e+04,5.052e+04,1.041e+05
184.2,3.823e+04,2.884e+04,6.341e+04,1.305e+05
185.7,5.003e+04,3.914e+04,8.014e+04,1.693e+05
187.2,6.337e+04,5.160e+04,9.661e+04,2.116e+05
188.7,7.577e+04,6.244e+04,1.105e+05,2.487e+05
190.2,8.125e+04,6.747e+04,1.140e+05,2.627e+05
191.8,7.713e+04,6.441e+04,1.045e+05,2.460e+05
193.3,6.772e+04,5.662e+04,8.853e+04,2.129e+05
194.8,5.812e+04,4.767e+04,7.384e+04,1.796e+05
196.3,4.181e+04,3.424e+04,5.199e+04,1.280e+05
197.9,3.031e+04,2.370e+04,3.847e+04,9.249e+04
199.4,2.274e+04,1.600e+04,3.096e+04,6.970e+04
