freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.961e+01,2.726e+01,5.552e+02,6.020e+02
1.5,2.435e+01,4.828e+01,3.304e+02,4.030e+02
3.0,1.751e+01,4.196e+01,3.307e+01,9.254e+01
4.6,1.564e+01,3.099e+01,2.992e+02,3.459e+02
6.1,1.654e+01,3.090e+01,1.093e+03,1.140e+03
7.6,1.640e+01,3.690e+01,1.823e+03,1.877e+03
9.1,1.728e+01,4.094e+01,2.639e+03,2.697e+03
10.7,1.974e+01,4.060e+01,3.621e+03,3.681e+03
12.2,2.117e+01,4.518e+01,4.766e+03,4.833e+03
13.7,2.284e+01,4.758e+01,6.187e+03,6.257e+03
15.2,2.349e+01,4.124e+01,7.998e+03,8.062e+03
16.7,2.215e+01,3.821e+01,1.009e+04,1.015e+04
18.3,2.456e+01,4.199e+01,1.245e+04,1.251e+04
19.8,3.300e+01,4.288e+01,1.518e+04,1.525e+04
21.3,3.337e+01,4.501e+01,1.688e+04,1.695e+04
22.8,2.820e+01,4.873e+01,1.792e+04,1.799e+04
24.3,2.712e+01,5.524e+01,2.049e+04,2.057e+04
25.9,3.132e+01,6.044e+01,2.444e+04,2.453e+04
27.4,3.239e+01,6.696e+01,2.956e+04,2.966e+04
28.9,3.077e+01,7.008e+01,3.561e+04,3.571e+04
30.4,2.523e+01,6.446e+01,3.977e+04,3.986e+04
32.0,2.424e+01,6.094e+01,4.417e+04,4.426e+04
33.5,3.320e+01,7.673e+01,5.016e+04,5.027e+04
35.0,3.866e+01,9.454e+01,5.808e+04,5.822e+04
36.5,3.418e+01,9.164e+01,6.928e+04,6.941e+04
38.0,2.707e+01,9.985e+01,8.363e+04,8.375e+04
39.6,2.582e+01,1.317e+02,1.021e+05,1.022e+05
41.1,4.345e+01,2.449e+02,1.262e+05,1.265e+05
42.6,9.197e+01,3.036e+02,1.590e+05,1.594e+05
44.1,3.987e+02,2.770e+02,2.001e+05,2.007e+05
45.6,9.231e+02,5.076e+02,2.442e+05,2.456e+05
47.2,1.333e+03,1.285e+03,2.943e+05,2.970e+05
48.7,3.004e+03,3.218e+03,3.684e+05,3.746e+05
50.2,5.593e+03,6.751e+03,5.190e+05,5.313e+05
51.7,7.899e+03,1.323e+04,7.924e+05,8.135e+05
53.3,1.147e+04,2.333e+04,1.218e+06,1.253e+06
54.8,1.437e+04,3.682e+04,1.728e+06,1.779e+06
56.3,1.568e+04,5.339e+04,2.200e+06,2.269e+06
57.8,1.507e+04,6.903e+04,2.482e+06,2.566e+06
59.3,1.320e+04,6.901e+04,2.275e+06,2.357e+06
60.9,9.496e+03,5.210e+04,1.708e+06,1.770e+06
62.4,5.634e+03,3.160e+04,1.160e+06,1.198e+06
63.9,4.159e+03,2.074e+04,7.286e+05,7.535e+05
65.4,4.233e+03,1.630e+04,4.513e+05,4.718e+05
66.9,3.223e+03,1.098e+04,3.192e+05,3.334e+05
68.5,1.602e+03,5.752e+03,2.635e+05,2.708e+05
70.0,1.078e+03,3.547e+03,2.178e+05,2.224e+05
71.5,1.052e+03,2.808e+03,1.721e+05,1.760e+05
73.0,1.040e+03,2.324e+03,1.348e+05,1.382e+05
74.6,7.941e+02,1.920e+03,9.898e+04,1.017e+05
76.1,5.571e+02,1.820e+03,7.050e+04,7.288e+04
77.6,5.063e+02,2.417e+03,5.194e+04,5.486e+04
79.1,5.133e+02,4.110e+03,4.238e+04,4.700e+04
80.6,5.202e+02,5.296e+03,4.204e+04,4.786e+04
82.2,6.587e+02,5.290e+03,4.572e+04,5.167e+04
83.7,8.728e+02,9.138e+03,6.825e+04,7.826e+04
85.2,1.487e+03,1.210e+04,1.001e+05,1.137e+05
86.7,4.070e+03,9.212e+03,1.550e+05,1.683e+05
88.3,1.032e+04,9.380e+03,2.259e+05,2.456e+05
89.8,1.410e+04,9.917e+03,2.884e+05,3.124e+05
91.3,1.255e+04,1.509e+04,3.471e+05,3.748e+05
92.8,9.225e+03,2.576e+04,3.884e+05,4.234e+05
94.3,7.425e+03,3.765e+04,3.772e+05,4.223e+05
95.9,1.215e+04,4.449e+04,3.217e+05,3.784e+05
97.4,1.774e+04,4.419e+04,2.683e+05,3.303e+05
98.9,1.911e+04,3.894e+04,2.393e+05,2.974e+05
100.4,1.704e+04,3.147e+04,2.324e+05,2.809e+05
101.9,1.489e+04,2.656e+04,2.132e+05,2.547e+05
103.5,1.537e+04,2.692e+04,1.914e+05,2.337e+05
105.0,1.470e+04,2.672e+04,1.700e+05,2.114e+05
106.5,1.219e+04,2.857e+04,1.577e+05,1.985e+05
108.0,9.522e+03,3.522e+04,1.462e+05,1.909e+05
109.6,7.120e+03,3.911e+04,1.341e+05,1.803e+05
111.1,5.082e+03,3.577e+04,1.207e+05,1.616e+05
112.6,3.964e+03,2.895e+04,1.054e+05,1.383e+05
114.1,3.365e+03,2.536e+04,9.531e+04,1.240e+05
115.6,3.315e+03,2.602e+04,8.896e+04,1.183e+05
117.2,3.678e+03,2.807e+04,8.384e+04,1.156e+05
118.7,4.218e+03,2.818e+04,7.820e+04,1.106e+05
120.2,4.242e+03,2.587e+04,7.343e+04,1.035e+05
121.7,5.390e+03,2.742e+04,7.372e+04,1.065e+05
123.2,9.972e+03,2.971e+04,8.129e+04,1.210e+05
124.8,1.618e+04,3.382e+04,8.991e+04,1.399e+05
126.3,2.111e+04,3.653e+04,9.082e+04,1.485e+05
127.8,2.499e+04,3.568e+04,8.811e+04,1.488e+05
129.3,2.823e+04,3.435e+04,8.449e+04,1.471e+05
130.9,3.055e+04,3.624e+04,7.968e+04,1.465e+05
132.4,2.588e+04,2.706e+04,6.644e+04,1.194e+05
133.9,1.492e+04,1.150e+04,4.290e+04,6.932e+04
135.4,9.483e+03,6.705e+03,3.018e+04,4.636e+04
136.9,6.595e+03,4.919e+03,2.316e+04,3.467e+04
138.5,4.266e+03,3.343e+03,1.673e+04,2.434e+04
140.0,2.572e+03,2.159e+03,1.153e+04,1.626e+04
141.5,1.745e+03,1.438e+03,8.420e+03,1.160e+04
143.0,1.262e+03,1.019e+03,7.273e+03,9.554e+03
144.5,1.008e+03,7.619e+02,7.303e+03,9.072e+03
146.1,9.439e+02,8.641e+02,7.312e+03,9.120e+03
147.6,1.090e+03,1.161e+03,7.290e+03,9.542e+03
149.1,1.626e+03,1.389e+03,9.346e+03,1.236e+04
150.6,2.215e+03,1.419e+03,1.234e+04,1.597e+04
152.2,3.111e+03,1.270e+03,1.554e+04,1.992e+04
153.7,3.902e+03,1.088e+03,1.756e+04,2.255e+04
155.2,4.805e+03,1.105e+03,1.906e+04,2.497e+04
156.7,5.350e+03,1.315e+03,1.865e+04,2.532e+04
158.2,5.405e+03,1.912e+03,1.542e+04,2.274e+04
159.8,8.188e+03,3.355e+03,1.285e+04,2.439e+04
161.3,1.616e+04,6.670e+03,1.820e+04,4.103e+04
162.8,3.342e+04,1.155e+04,4.206e+04,8.703e+04
164.3,5.304e+04,1.957e+04,7.421e+04,1.468e+05
165.8,6.247e+04,2.742e+04,9.132e+04,1.812e+05
167.4,6.855e+04,3.382e+04,1.035e+05,2.059e+05
168.9,6.761e+04,3.868e+04,1.056e+05,2.119e+05
170.4,6.798e+04,4.352e+04,1.085e+05,2.200e+05
171.9,6.923e+04,4.837e+04,1.117e+05,2.293e+05
173.5,6.924e+04,5.426e+04,1.106e+05,2.341e+05
175.0,7.381e+04,6.421e+04,1.139e+05,2.519e+05
