freq,psd_x,psd_y,psd_z,psd_xyz
150.7,1.693e+03,1.950e+03,7.490e+03,1.113e+04
152.2,2.245e+03,2.616e+03,9.141e+03,1.400e+04
153.7,3.137e+03,2.905e+03,1.273e+04,1.878e+04
155.3,3.631e+03,2.580e+03,1.533e+04,2.154e+04
156.8,3.314e+03,1.967e+03,1.484e+04,2.012e+04
158.3,2.370e+03,1.461e+03,1.249e+04,1.632e+04
159.8,1.647e+03,1.056e+03,1.051e+04,1.322e+04
161.3,1.256e+03,1.003e+03,8.653e+03,1.091e+04
162.9,1.533e+03,1.713e+03,6.256e+03,9.501e+03
164.4,4.787e+03,4.043e+03,6.204e+03,1.503e+04
165.9,1.349e+04,8.774e+03,1.443e+04,3.669e+04
167.4,2.882e+04,1.731e+04,3.697e+04,8.310e+04
168.9,4.068e+04,2.594e+04,5.487e+04,1.215e+05
170.5,5.077e+04,3.119e+04,7.053e+04,1.525e+05
172.0,5.397e+04,2.979e+04,7.868e+04,1.624e+05
173.5,5.139e+04,2.893e+04,7.675e+04,1.571e+05
175.0,4.805e+04,2.969e+04,7.307e+04,1.508e+05
176.6,4.397e+04,3.000e+04,6.888e+04,1.428e+05
178.1,3.877e+04,2.904e+04,6.174e+04,1.296e+05
179.6,3.389e+04,2.831e+04,5.383e+04,1.160e+05
181.1,2.715e+04,2.508e+04,4.186e+04,9.409e+04
182.6,2.303e+04,2.187e+04,3.510e+04,8.000e+04
184.2,2.983e+04,2.764e+04,4.561e+04,1.031e+05
185.7,4.808e+04,4.234e+04,7.273e+04,1.631e+05
187.2,7.002e+04,5.776e+04,1.044e+05,2.321e+05
188.7,8.544e+04,6.656e+04,1.267e+05,2.787e+05
190.3,9.599e+04,7.044e+04,1.425e+05,3.090e+05
191.8,9.961e+04,7.136e+04,1.471e+05,3.180e+05
193.3,9.531e+04,6.712e+04,1.385e+05,3.009e+05
194.8,8.640e+04,6.016e+04,1.225e+05,2.691e+05
196.3,7.386e+04,5.252e+04,1.001e+05,2.265e+05
197.9,6.460e+04,4.498e+04,8.472e+04,1.943e+05
199.4,5.292e+04,3.434e+04,6.860e+04,1.559e+05
