freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.813e+01,2.722e+02,1.499e+01,3.753e+02
1.5,5.631e+01,1.563e+02,2.392e+01,2.366e+02
3.0,1.436e+01,2.025e+01,2.099e+01,5.560e+01
4.6,1.385e+01,2.970e+02,2.101e+01,3.318e+02
6.1,1.414e+01,1.175e+03,2.158e+01,1.211e+03
7.6,1.336e+01,1.978e+03,2.177e+01,2.013e+03
9.1,1.282e+01,2.903e+03,2.348e+01,2.939e+03
10.7,1.301e+01,4.136e+03,2.438e+01,4.173e+03
12.2,1.414e+01,5.657e+03,2.590e+01,5.697e+03
13.7,1.453e+01,6.905e+03,2.622e+01,6.946e+03
15.2,1.459e+01,8.910e+03,2.301e+01,8.947e+03
16.7,1.861e+01,1.163e+04,2.684e+01,1.167e+04
18.3,2.975e+01,1.490e+04,3.130e+01,1.497e+04
19.8,3.910e+01,1.848e+04,3.284e+01,1.855e+04
21.3,4.812e+01,2.306e+04,4.858e+01,2.315e+04
22.8,7.306e+01,2.916e+04,6.069e+01,2.929e+04
24.4,1.440e+02,3.749e+04,4.555e+01,3.768e+04
25.9,3.056e+02,4.983e+04,4.026e+01,5.017e+04
27.4,6.901e+02,6.775e+04,5.750e+01,6.850e+04
28.9,1.322e+03,8.987e+04,1.179e+02,9.131e+04
30.4,2.455e+03,1.141e+05,1.078e+02,1.167e+05
32.0,6.383e+03,1.451e+05,5.484e+01,1.515e+05
33.5,1.778e+04,1.706e+05,2.481e+02,1.886e+05
35.0,3.414e+04,1.764e+05,8.557e+02,2.114e+05
36.5,5.224e+04,1.834e+05,1.510e+03,2.372e+05
38.1,8.134e+04,2.005e+05,2.133e+03,2.839e+05
39.6,1.129e+05,1.720e+05,2.865e+03,2.878e+05
41.1,1.289e+05,1.031e+05,3.574e+03,2.355e+05
42.6,1.173e+05,5.507e+04,4.292e+03,1.767e+05
44.1,9.535e+04,4.274e+04,4.836e+03,1.429e+05
45.7,8.641e+04,5.696e+04,5.284e+03,1.487e+05
47.2,1.085e+05,1.161e+05,6.645e+03,2.313e+05
48.7,1.783e+05,2.580e+05,9.760e+03,4.461e+05
50.2,2.496e+05,4.352e+05,1.318e+04,6.980e+05
51.8,2.720e+05,5.538e+05,1.572e+04,8.416e+05
53.3,2.499e+05,5.750e+05,1.757e+04,8.425e+05
54.8,2.019e+05,5.059e+05,2.008e+04,7.278e+05
56.3,1.559e+05,4.124e+05,2.298e+04,5.913e+05
57.8,1.211e+05,3.348e+05,2.618e+04,4.820e+05
59.4,9.757e+04,2.733e+05,3.071e+04,4.016e+05
60.9,8.213e+04,2.284e+05,3.745e+04,3.480e+05
62.4,6.829e+04,1.879e+05,4.143e+04,2.976e+05
63.9,5.221e+04,1.474e+05,3.472e+04,2.343e+05
65.5,4.009e+04,1.179e+05,2.261e+04,1.806e+05
67.0,3.423e+04,9.820e+04,1.378e+04,1.462e+05
68.5,3.021e+04,8.471e+04,8.839e+03,1.238e+05
70.0,2.526e+04,7.155e+04,6.310e+03,1.031e+05
71.5,2.139e+04,5.758e+04,5.200e+03,8.417e+04
73.1,1.721e+04,4.394e+04,4.362e+03,6.551e+04
74.6,1.264e+04,3.421e+04,3.898e+03,5.075e+04
76.1,1.047e+04,3.128e+04,2.852e+03,4.460e+04
77.6,9.722e+03,3.094e+04,1.537e+03,4.220e+04
79.1,9.051e+03,3.224e+04,9.200e+02,4.221e+04
80.7,9.073e+03,3.513e+04,6.154e+02,4.481e+04
82.2,8.902e+03,3.462e+04,5.045e+02,4.402e+04
83.7,7.989e+03,3.041e+04,6.152e+02,3.902e+04
85.2,7.037e+03,2.660e+04,1.045e+03,3.468e+04
86.8,6.643e+03,2.471e+04,1.744e+03,3.310e+04
88.3,6.988e+03,2.292e+04,2.468e+03,3.238e+04
89.8,7.833e+03,2.413e+04,4.066e+03,3.603e+04
91.3,8.474e+03,3.159e+04,6.419e+03,4.648e+04
92.8,8.537e+03,4.324e+04,1.090e+04,6.268e+04
94.4,7.958e+03,5.633e+04,1.866e+04,8.295e+04
95.9,6.419e+03,7.115e+04,2.475e+04,1.023e+05
97.4,4.395e+03,8.489e+04,2.361e+04,1.129e+05
98.9,2.552e+03,8.907e+04,1.587e+04,1.075e+05
100.5,1.564e+03,9.172e+04,1.135e+04,1.046e+05
102.0,1.186e+03,9.727e+04,1.123e+04,1.097e+05
103.5,9.359e+02,1.054e+05,1.162e+04,1.179e+05
105.0,8.628e+02,1.091e+05,1.156e+04,1.215e+05
106.5,8.019e+02,1.077e+05,1.152e+04,1.200e+05
108.1,6.891e+02,1.028e+05,1.019e+04,1.136e+05
109.6,5.856e+02,9.222e+04,9.562e+03,1.024e+05
111.1,4.999e+02,7.861e+04,9.251e+03,8.836e+04
112.6,4.609e+02,6.338e+04,8.154e+03,7.199e+04
114.2,5.276e+02,5.061e+04,6.373e+03,5.751e+04
115.7,7.012e+02,4.283e+04,5.776e+03,4.930e+04
117.2,8.750e+02,3.353e+04,5.440e+03,3.985e+04
118.7,1.074e+03,3.319e+04,4.184e+03,3.845e+04
120.2,1.107e+03,4.411e+04,3.278e+03,4.849e+04
121.8,1.109e+03,4.685e+04,2.167e+03,5.013e+04
123.3,1.105e+03,4.614e+04,1.424e+03,4.867e+04
124.8,1.100e+03,4.442e+04,1.233e+03,4.676e+04
126.3,9.765e+02,4.748e+04,1.209e+03,4.967e+04
127.9,7.161e+02,4.824e+04,1.475e+03,5.043e+04
129.4,5.540e+02,4.548e+04,1.633e+03,4.767e+04
130.9,4.542e+02,3.861e+04,1.611e+03,4.068e+04
132.4,2.861e+02,2.419e+04,1.262e+03,2.574e+04
133.9,1.426e+02,4.625e+03,7.258e+02,5.493e+03
135.5,1.551e+02,1.171e+03,5.540e+02,1.881e+03
137.0,1.994e+02,1.651e+03,4.935e+02,2.344e+03
138.5,2.415e+02,1.858e+03,4.802e+02,2.580e+03
140.0,2.285e+02,2.237e+03,4.799e+02,2.945e+03
141.6,2.095e+02,2.803e+03,4.815e+02,3.494e+03
143.1,2.165e+02,3.504e+03,5.339e+02,4.255e+03
144.6,2.148e+02,4.420e+03,6.081e+02,5.243e+03
146.1,2.871e+02,5.277e+03,6.240e+02,6.188e+03
147.6,4.508e+02,6.418e+03,6.688e+02,7.537e+03
149.2,6.806e+02,7.255e+03,7.674e+02,8.703e+03
150.7,9.600e+02,8.565e+03,1.112e+03,1.064e+04
