freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.260e+01,2.309e+01,5.201e+02,5.658e+02
1.5,3.005e+01,3.427e+01,3.101e+02,3.744e+02
3.0,2.200e+01,2.490e+01,3.500e+01,8.191e+01
4.6,2.512e+01,2.616e+01,2.947e+02,3.459e+02
6.1,2.741e+01,3.018e+01,1.100e+03,1.158e+03
7.6,2.455e+01,2.840e+01,1.871e+03,1.924e+03
9.1,2.806e+01,3.054e+01,2.732e+03,2.790e+03
10.6,2.913e+01,3.081e+01,3.764e+03,3.824e+03
12.2,3.076e+01,3.221e+01,4.931e+03,4.994e+03
13.7,2.913e+01,3.007e+01,6.391e+03,6.450e+03
15.2,2.959e+01,3.043e+01,8.205e+03,8.265e+03
16.7,3.291e+01,3.502e+01,1.036e+04,1.043e+04
18.3,4.098e+01,3.576e+01,1.271e+04,1.278e+04
19.8,4.473e+01,3.512e+01,1.538e+04,1.546e+04
21.3,4.038e+01,3.435e+01,1.721e+04,1.728e+04
22.8,3.488e+01,3.332e+01,1.907e+04,1.913e+04
24.3,3.577e+01,3.550e+01,2.262e+04,2.270e+04
25.9,3.644e+01,3.932e+01,2.741e+04,2.748e+04
27.4,3.954e+01,4.372e+01,3.290e+04,3.298e+04
28.9,4.355e+01,5.388e+01,3.935e+04,3.945e+04
30.4,3.910e+01,5.542e+01,4.468e+04,4.477e+04
31.9,3.938e+01,4.918e+01,5.021e+04,5.030e+04
33.5,4.278e+01,6.271e+01,5.691e+04,5.701e+04
35.0,4.063e+01,9.569e+01,6.686e+04,6.700e+04
36.5,3.791e+01,1.086e+02,8.122e+04,8.136e+04
38.0,3.626e+01,1.275e+02,9.972e+04,9.989e+04
39.5,4.046e+01,1.636e+02,1.236e+05,1.239e+05
41.1,9.898e+01,2.410e+02,1.516e+05,1.519e+05
42.6,3.129e+02,4.280e+02,1.841e+05,1.849e+05
44.1,5.563e+02,7.065e+02,2.290e+05,2.303e+05
45.6,8.234e+02,1.099e+03,3.149e+05,3.168e+05
47.1,2.173e+03,2.227e+03,4.588e+05,4.632e+05
48.7,5.691e+03,6.104e+03,6.280e+05,6.398e+05
50.2,1.681e+04,1.705e+04,8.797e+05,9.135e+05
51.7,3.536e+04,3.620e+04,1.260e+06,1.331e+06
53.2,5.210e+04,6.184e+04,1.661e+06,1.775e+06
54.8,6.258e+04,7.858e+04,1.782e+06,1.923e+06
56.3,5.688e+04,7.106e+04,1.700e+06,1.828e+06
57.8,4.210e+04,5.072e+04,1.468e+06,1.561e+06
59.3,2.755e+04,3.272e+04,1.095e+06,1.155e+06
60.8,1.788e+04,2.404e+04,7.530e+05,7.949e+05
62.4,1.392e+04,1.876e+04,5.385e+05,5.712e+05
63.9,9.461e+03,1.205e+04,4.234e+05,4.449e+05
65.4,3.997e+03,4.910e+03,3.360e+05,3.449e+05
66.9,1.887e+03,1.880e+03,2.804e+05,2.842e+05
68.4,9.935e+02,1.119e+03,2.402e+05,2.424e+05
70.0,4.534e+02,1.237e+03,1.931e+05,1.948e+05
71.5,2.136e+02,1.231e+03,1.389e+05,1.404e+05
73.0,1.454e+02,9.440e+02,9.585e+04,9.694e+04
74.5,1.418e+02,7.366e+02,6.774e+04,6.862e+04
76.0,2.696e+02,3.210e+02,4.750e+04,4.809e+04
77.6,2.978e+02,1.256e+02,3.243e+04,3.285e+04
79.1,2.060e+02,3.452e+02,2.029e+04,2.084e+04
80.6,1.226e+02,1.676e+03,1.944e+04,2.124e+04
82.1,8.905e+01,4.937e+03,2.700e+04,3.202e+04
83.7,1.927e+02,7.454e+03,4.515e+04,5.280e+04
85.2,5.085e+02,7.244e+03,7.897e+04,8.672e+04
86.7,9.311e+02,6.068e+03,1.278e+05,1.348e+05
88.2,1.461e+03,4.385e+03,1.938e+05,1.997e+05
89.7,1.665e+03,2.869e+03,2.352e+05,2.398e+05
91.3,1.468e+03,4.886e+03,2.383e+05,2.446e+05
92.8,2.147e+03,9.538e+03,2.457e+05,2.574e+05
94.3,3.082e+03,1.292e+04,2.547e+05,2.707e+05
95.8,4.108e+03,1.441e+04,2.496e+05,2.681e+05
97.3,4.923e+03,1.641e+04,2.389e+05,2.602e+05
98.9,5.433e+03,1.761e+04,2.221e+05,2.452e+05
100.4,5.749e+03,1.704e+04,2.060e+05,2.288e+05
101.9,6.341e+03,1.647e+04,1.904e+05,2.132e+05
103.4,6.750e+03,1.484e+04,1.738e+05,1.954e+05
104.9,6.466e+03,1.330e+04,1.620e+05,1.818e+05
106.5,4.985e+03,1.236e+04,1.499e+05,1.672e+05
108.0,2.824e+03,1.272e+04,1.381e+05,1.537e+05
109.5,1.763e+03,1.485e+04,1.337e+05,1.503e+05
111.0,1.377e+03,1.648e+04,1.303e+05,1.482e+05
112.5,2.709e+03,1.705e+04,1.278e+05,1.476e+05
114.1,6.813e+03,1.901e+04,1.335e+05,1.593e+05
115.6,9.681e+03,2.045e+04,1.332e+05,1.634e+05
117.1,1.129e+04,2.067e+04,1.255e+05,1.574e+05
118.6,1.317e+04,2.037e+04,1.174e+05,1.509e+05
120.2,1.489e+04,2.042e+04,1.091e+05,1.444e+05
121.7,1.594e+04,2.127e+04,9.963e+04,1.368e+05
123.2,1.531e+04,2.109e+04,8.650e+04,1.229e+05
124.7,1.408e+04,2.013e+04,7.313e+04,1.073e+05
126.2,1.261e+04,1.856e+04,6.176e+04,9.292e+04
127.8,1.116e+04,1.659e+04,5.540e+04,8.315e+04
129.3,9.536e+03,1.433e+04,4.824e+04,7.211e+04
130.8,7.324e+03,1.227e+04,3.912e+04,5.871e+04
132.3,4.660e+03,8.665e+03,2.616e+04,3.949e+04
133.8,1.822e+03,2.595e+03,7.385e+03,1.180e+04
135.4,1.167e+03,1.651e+03,3.112e+03,5.930e+03
136.9,1.228e+03,1.922e+03,4.435e+03,7.585e+03
138.4,1.557e+03,1.559e+03,6.680e+03,9.796e+03
139.9,2.075e+03,1.608e+03,8.104e+03,1.179e+04
141.4,2.623e+03,1.986e+03,8.373e+03,1.298e+04
143.0,2.771e+03,2.089e+03,7.910e+03,1.277e+04
144.5,2.709e+03,2.154e+03,7.692e+03,1.256e+04
146.0,2.594e+03,2.235e+03,8.003e+03,1.283e+04
147.5,2.298e+03,2.211e+03,7.537e+03,1.205e+04
149.1,2.175e+03,1.898e+03,7.053e+03,1.113e+04
150.6,1.668e+03,1.824e+03,5.890e+03,9.383e+03
152.1,1.337e+03,1.754e+03,5.079e+03,8.169e+03
153.6,1.056e+03,1.279e+03,4.730e+03,7.065e+03
155.1,1.205e+03,1.736e+03,3.935e+03,6.876e+03
156.7,1.892e+03,2.358e+03,2.951e+03,7.200e+03
158.2,2.503e+03,2.692e+03,2.520e+03,7.715e+03
159.7,6.108e+03,3.423e+03,6.524e+03,1.606e+04
161.2,1.696e+04,5.300e+03,2.349e+04,4.575e+04
162.7,2.517e+04,7.219e+03,3.818e+04,7.056e+04
164.3,2.526e+04,7.288e+03,3.955e+04,7.211e+04
165.8,2.334e+04,6.584e+03,3.793e+04,6.786e+04
167.3,1.892e+04,5.294e+03,3.181e+04,5.602e+04
168.8,9.954e+03,3.635e+03,1.591e+04,2.950e+04
170.3,6.156e+03,3.838e+03,8.257e+03,1.825e+04
171.9,1.098e+04,5.637e+03,1.626e+04,3.288e+04
173.4,1.227e+04,6.135e+03,1.961e+04,3.801e+04
174.9,1.325e+04,6.077e+03,2.307e+04,4.240e+04
176.4,1.694e+04,7.079e+03,3.020e+04,5.422e+04
178.0,2.333e+04,9.895e+03,4.029e+04,7.351e+04
179.5,3.251e+04,1.447e+04,5.381e+04,1.008e+05
181.0,4.318e+04,1.884e+04,7.063e+04,1.327e+05
182.5,5.287e+04,2.168e+04,8.575e+04,1.603e+05
184.0,5.947e+04,2.253e+04,9.470e+04,1.767e+05
185.6,5.956e+04,2.104e+04,9.225e+04,1.728e+05
187.1,5.684e+04,2.009e+04,8.506e+04,1.620e+05
188.6,5.334e+04,2.006e+04,7.564e+04,1.490e+05
190.1,5.134e+04,2.232e+04,6.637e+04,1.400e+05
191.6,4.537e+04,2.175e+04,5.372e+04,1.208e+05
193.2,3.784e+04,1.878e+04,4.328e+04,9.990e+04
194.7,3.188e+04,1.584e+04,3.758e+04,8.531e+04
196.2,3.854e+04,1.904e+04,4.784e+04,1.054e+05
197.7,4.219e+04,2.093e+04,5.297e+04,1.161e+05
199.2,3.677e+04,1.821e+04,4.517e+04,1.001e+05
