freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.176e+01,2.888e+02,8.493e+00,3.791e+02
1.5,5.742e+01,1.725e+02,2.315e+01,2.531e+02
3.0,1.703e+01,2.603e+01,2.432e+01,6.739e+01
4.6,1.690e+01,3.147e+02,2.449e+01,3.561e+02
6.1,1.709e+01,1.269e+03,2.430e+01,1.311e+03
7.6,1.521e+01,2.184e+03,2.444e+01,2.224e+03
9.1,1.490e+01,3.269e+03,2.322e+01,3.307e+03
10.6,1.575e+01,4.796e+03,2.401e+01,4.836e+03
12.2,1.731e+01,6.488e+03,2.748e+01,6.533e+03
13.7,1.717e+01,7.921e+03,2.667e+01,7.965e+03
15.2,1.748e+01,1.027e+04,2.561e+01,1.031e+04
16.7,2.109e+01,1.322e+04,3.790e+01,1.328e+04
18.3,2.951e+01,1.707e+04,4.387e+01,1.714e+04
19.8,3.643e+01,2.209e+04,3.883e+01,2.217e+04
21.3,4.480e+01,2.838e+04,4.373e+01,2.847e+04
22.8,7.147e+01,3.744e+04,3.902e+01,3.755e+04
24.3,1.388e+02,5.095e+04,3.035e+01,5.111e+04
25.9,3.328e+02,7.185e+04,3.584e+01,7.221e+04
27.4,7.381e+02,1.045e+05,5.044e+01,1.053e+05
28.9,1.372e+03,1.493e+05,9.988e+01,1.508e+05
30.4,2.907e+03,2.050e+05,1.418e+02,2.081e+05
31.9,8.236e+03,2.550e+05,1.213e+02,2.633e+05
33.5,2.326e+04,2.796e+05,2.087e+02,3.030e+05
35.0,3.815e+04,2.578e+05,4.410e+02,2.964e+05
36.5,5.117e+04,2.424e+05,6.228e+02,2.941e+05
38.0,7.030e+04,2.257e+05,7.683e+02,2.968e+05
39.5,8.527e+04,1.636e+05,1.113e+03,2.500e+05
41.1,8.990e+04,9.528e+04,1.529e+03,1.867e+05
42.6,9.036e+04,5.664e+04,2.099e+03,1.491e+05
44.1,9.277e+04,4.667e+04,2.663e+03,1.421e+05
45.6,9.182e+04,5.116e+04,2.970e+03,1.460e+05
47.1,1.144e+05,9.701e+04,3.627e+03,2.150e+05
48.7,1.956e+05,2.450e+05,5.652e+03,4.463e+05
50.2,2.545e+05,3.896e+05,6.958e+03,6.511e+05
51.7,2.310e+05,3.991e+05,6.379e+03,6.364e+05
