freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.751e+01,4.283e+01,4.888e+02,5.591e+02
1.5,4.382e+01,5.301e+01,2.927e+02,3.895e+02
3.0,4.025e+01,3.364e+01,3.183e+01,1.057e+02
4.6,4.248e+01,3.374e+01,2.987e+02,3.749e+02
6.1,4.426e+01,4.299e+01,1.137e+03,1.224e+03
7.6,5.072e+01,4.264e+01,1.878e+03,1.972e+03
9.1,4.757e+01,4.108e+01,2.720e+03,2.808e+03
10.6,4.741e+01,4.011e+01,3.752e+03,3.840e+03
12.1,4.885e+01,4.546e+01,4.999e+03,5.093e+03
13.7,5.356e+01,4.922e+01,6.534e+03,6.636e+03
15.2,4.831e+01,4.497e+01,8.249e+03,8.342e+03
16.7,4.601e+01,4.388e+01,1.044e+04,1.053e+04
18.2,5.811e+01,4.546e+01,1.309e+04,1.319e+04
19.7,6.339e+01,4.422e+01,1.582e+04,1.593e+04
21.3,6.207e+01,4.359e+01,1.788e+04,1.799e+04
22.8,5.399e+01,3.915e+01,1.965e+04,1.974e+04
24.3,4.996e+01,4.299e+01,2.300e+04,2.310e+04
25.8,5.436e+01,4.039e+01,2.788e+04,2.797e+04
27.3,5.844e+01,4.006e+01,3.390e+04,3.400e+04
28.8,5.725e+01,4.578e+01,4.089e+04,4.100e+04
30.4,4.844e+01,5.467e+01,4.632e+04,4.642e+04
31.9,4.492e+01,6.509e+01,5.205e+04,5.216e+04
33.4,4.750e+01,7.237e+01,5.925e+04,5.937e+04
34.9,4.030e+01,7.709e+01,6.938e+04,6.950e+04
36.4,3.941e+01,9.952e+01,8.462e+04,8.476e+04
38.0,4.772e+01,1.236e+02,1.050e+05,1.051e+05
39.5,5.546e+01,1.678e+02,1.313e+05,1.315e+05
41.0,1.610e+02,4.594e+02,1.685e+05,1.691e+05
42.5,4.356e+02,8.154e+02,2.136e+05,2.148e+05
44.0,8.134e+02,9.913e+02,2.619e+05,2.637e+05
45.5,2.111e+03,2.425e+03,3.356e+05,3.401e+05
47.1,3.996e+03,5.632e+03,4.524e+05,4.620e+05
48.6,5.504e+03,9.394e+03,6.331e+05,6.480e+05
50.1,1.182e+04,1.903e+04,9.122e+05,9.431e+05
51.6,2.842e+04,3.988e+04,1.252e+06,1.320e+06
53.1,4.768e+04,6.551e+04,1.535e+06,1.648e+06
54.7,5.474e+04,7.929e+04,1.553e+06,1.687e+06
56.2,4.849e+04,7.795e+04,1.410e+06,1.536e+06
57.7,3.450e+04,6.717e+04,1.222e+06,1.323e+06
59.2,1.958e+04,5.186e+04,9.509e+05,1.022e+06
60.7,1.124e+04,4.093e+04,6.839e+05,7.360e+05
62.2,7.646e+03,3.317e+04,4.846e+05,5.254e+05
63.8,5.171e+03,2.642e+04,3.374e+05,3.690e+05
65.3,2.564e+03,1.590e+04,2.752e+05,2.937e+05
66.8,1.379e+03,1.052e+04,2.514e+05,2.633e+05
68.3,1.540e+03,1.001e+04,2.213e+05,2.329e+05
69.8,1.419e+03,8.785e+03,1.780e+05,1.882e+05
71.4,1.095e+03,8.675e+03,1.303e+05,1.400e+05
72.9,9.656e+02,9.762e+03,9.800e+04,1.087e+05
74.4,9.427e+02,1.029e+04,7.389e+04,8.513e+04
75.9,9.945e+02,1.011e+04,5.185e+04,6.295e+04
77.4,9.329e+02,1.038e+04,3.952e+04,5.083e+04
78.9,7.894e+02,1.060e+04,2.854e+04,3.993e+04
80.5,6.521e+02,1.397e+04,2.519e+04,3.981e+04
82.0,9.472e+02,2.277e+04,3.913e+04,6.284e+04
83.5,1.673e+03,2.864e+04,7.620e+04,1.065e+05
85.0,2.129e+03,3.125e+04,1.319e+05,1.653e+05
86.5,2.281e+03,3.154e+04,1.869e+05,2.208e+05
88.0,3.496e+03,2.969e+04,2.246e+05,2.578e+05
89.6,6.324e+03,3.083e+04,2.360e+05,2.731e+05
91.1,5.553e+03,3.149e+04,2.368e+05,2.738e+05
92.6,4.010e+03,3.128e+04,2.251e+05,2.604e+05
94.1,3.838e+03,3.261e+04,2.204e+05,2.569e+05
95.6,4.215e+03,3.277e+04,2.303e+05,2.673e+05
