freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.298e+02,3.359e+02,1.073e+01,4.765e+02
1.5,8.317e+01,2.009e+02,2.122e+01,3.053e+02
3.0,1.223e+01,2.137e+01,1.943e+01,5.304e+01
4.6,1.200e+01,3.052e+02,1.893e+01,3.361e+02
6.1,1.257e+01,1.167e+03,1.930e+01,1.199e+03
7.6,1.263e+01,1.986e+03,1.970e+01,2.018e+03
9.1,1.249e+01,2.966e+03,2.038e+01,2.999e+03
10.7,1.223e+01,4.270e+03,2.028e+01,4.302e+03
12.2,1.296e+01,5.810e+03,2.116e+01,5.844e+03
13.7,1.382e+01,7.009e+03,2.550e+01,7.048e+03
15.2,1.447e+01,8.950e+03,2.682e+01,8.991e+03
16.7,1.612e+01,1.181e+04,2.666e+01,1.185e+04
18.3,2.722e+01,1.520e+04,2.764e+01,1.525e+04
19.8,4.337e+01,1.896e+04,2.811e+01,1.903e+04
21.3,6.115e+01,2.374e+04,3.555e+01,2.384e+04
22.8,9.694e+01,3.032e+04,3.694e+01,3.046e+04
24.3,1.888e+02,3.936e+04,2.917e+01,3.958e+04
25.9,3.991e+02,5.258e+04,3.311e+01,5.301e+04
27.4,8.986e+02,7.188e+04,5.624e+01,7.283e+04
28.9,1.999e+03,9.765e+04,1.131e+02,9.976e+04
30.4,4.085e+03,1.248e+05,9.138e+01,1.290e+05
32.0,1.111e+04,1.503e+05,7.656e+01,1.615e+05
33.5,2.694e+04,1.593e+05,3.883e+02,1.866e+05
35.0,4.310e+04,1.519e+05,9.438e+02,1.959e+05
36.5,6.077e+04,1.478e+05,1.395e+03,2.100e+05
38.0,9.327e+04,1.648e+05,1.928e+03,2.600e+05
39.6,1.336e+05,1.657e+05,2.589e+03,3.019e+05
41.1,1.512e+05,1.180e+05,3.096e+03,2.722e+05
42.6,1.494e+05,8.855e+04,3.743e+03,2.417e+05
44.1,1.596e+05,1.151e+05,4.444e+03,2.791e+05
45.6,2.002e+05,1.992e+05,5.096e+03,4.045e+05
47.2,2.715e+05,3.435e+05,5.953e+03,6.210e+05
48.7,3.824e+05,5.786e+05,7.667e+03,9.686e+05
50.2,4.738e+05,8.244e+05,9.541e+03,1.308e+06
51.7,4.200e+05,8.438e+05,9.651e+03,1.273e+06
53.3,2.842e+05,6.547e+05,7.788e+03,9.466e+05
54.8,2.002e+05,4.933e+05,6.595e+03,7.000e+05
56.3,1.618e+05,4.058e+05,5.708e+03,5.734e+05
57.8,1.309e+05,3.409e+05,5.004e+03,4.767e+05
59.3,1.037e+05,2.872e+05,4.613e+03,3.954e+05
60.9,8.334e+04,2.470e+05,4.864e+03,3.352e+05
62.4,6.737e+04,2.145e+05,4.855e+03,2.867e+05
63.9,5.621e+04,1.928e+05,3.722e+03,2.527e+05
65.4,4.934e+04,1.723e+05,2.100e+03,2.237e+05
66.9,4.051e+04,1.465e+05,9.775e+02,1.879e+05
68.5,3.180e+04,1.218e+05,6.427e+02,1.542e+05
70.0,2.624e+04,1.026e+05,8.983e+02,1.297e+05
71.5,2.204e+04,8.587e+04,1.358e+03,1.093e+05
73.0,1.914e+04,7.220e+04,1.730e+03,9.307e+04
74.6,1.546e+04,6.042e+04,1.674e+03,7.755e+04
76.1,1.278e+04,5.372e+04,1.785e+03,6.829e+04
77.6,1.108e+04,5.427e+04,2.306e+03,6.765e+04
79.1,9.000e+03,5.756e+04,2.974e+03,6.954e+04
80.6,7.126e+03,6.089e+04,2.946e+03,7.096e+04
82.2,5.711e+03,6.123e+04,2.528e+03,6.947e+04
83.7,4.924e+03,6.474e+04,2.330e+03,7.200e+04
85.2,4.824e+03,7.358e+04,2.436e+03,8.084e+04
86.7,4.871e+03,7.993e+04,3.217e+03,8.801e+04
88.2,4.694e+03,8.047e+04,5.307e+03,9.047e+04
89.8,4.292e+03,7.471e+04,8.013e+03,8.701e+04
91.3,3.572e+03,7.041e+04,7.930e+03,8.191e+04
92.8,2.866e+03,7.501e+04,6.849e+03,8.473e+04
94.3,2.446e+03,7.938e+04,7.754e+03,8.958e+04
95.9,2.380e+03,8.258e+04,9.095e+03,9.405e+04
97.4,2.408e+03,8.013e+04,9.342e+03,9.188e+04
98.9,2.469e+03,7.494e+04,8.973e+03,8.638e+04
100.4,2.379e+03,7.215e+04,8.523e+03,8.305e+04
101.9,1.967e+03,6.900e+04,8.525e+03,7.950e+04
103.5,1.527e+03,6.632e+04,7.682e+03,7.553e+04
105.0,1.314e+03,6.741e+04,5.980e+03,7.470e+04
106.5,1.271e+03,6.666e+04,4.317e+03,7.225e+04
108.0,1.127e+03,6.120e+04,3.273e+03,6.560e+04
109.5,9.063e+02,5.134e+04,3.402e+03,5.565e+04
111.1,1.099e+03,4.215e+04,3.097e+03,4.634e+04
112.6,1.215e+03,3.616e+04,2.555e+03,3.993e+04
114.1,1.179e+03,3.236e+04,2.075e+03,3.562e+04
115.6,1.174e+03,2.999e+04,1.689e+03,3.285e+04
117.2,1.166e+03,2.797e+04,1.411e+03,3.055e+04
118.7,1.128e+03,2.695e+04,1.237e+03,2.931e+04
120.2,9.301e+02,2.737e+04,9.133e+02,2.921e+04
121.7,8.037e+02,2.734e+04,7.783e+02,2.892e+04
123.2,6.973e+02,2.790e+04,7.736e+02,2.937e+04
124.8,4.403e+02,3.495e+04,8.364e+02,3.622e+04
126.3,2.876e+02,3.448e+04,9.387e+02,3.571e+04
127.8,2.909e+02,3.176e+04,1.053e+03,3.310e+04
129.3,3.035e+02,3.833e+04,1.210e+03,3.984e+04
130.8,2.454e+02,3.995e+04,1.272e+03,4.147e+04
132.4,2.943e+02,2.916e+04,1.149e+03,3.060e+04
133.9,4.103e+02,9.920e+03,8.373e+02,1.117e+04
135.4,5.282e+02,5.783e+03,6.741e+02,6.985e+03
136.9,6.390e+02,6.550e+03,5.434e+02,7.732e+03
138.5,7.402e+02,6.602e+03,4.733e+02,7.815e+03
140.0,8.162e+02,6.697e+03,4.778e+02,7.991e+03
141.5,9.361e+02,7.123e+03,6.337e+02,8.693e+03
143.0,1.213e+03,7.786e+03,9.943e+02,9.994e+03
144.5,1.578e+03,8.291e+03,1.362e+03,1.123e+04
146.1,1.711e+03,8.725e+03,1.490e+03,1.193e+04
147.6,2.127e+03,9.683e+03,1.934e+03,1.374e+04
149.1,2.405e+03,1.109e+04,2.564e+03,1.606e+04
150.6,2.482e+03,1.267e+04,3.552e+03,1.870e+04
152.1,2.641e+03,1.443e+04,4.823e+03,2.189e+04
153.7,2.640e+03,1.585e+04,6.396e+03,2.489e+04
155.2,2.825e+03,1.676e+04,9.048e+03,2.863e+04
156.7,3.036e+03,1.952e+04,1.432e+04,3.688e+04
158.2,4.195e+03,2.741e+04,2.476e+04,5.636e+04
159.8,4.502e+03,3.572e+04,3.062e+04,7.085e+04
161.3,5.319e+03,4.571e+04,3.638e+04,8.741e+04
162.8,7.225e+03,5.332e+04,4.362e+04,1.042e+05
164.3,9.310e+03,5.168e+04,4.614e+04,1.071e+05
165.8,1.203e+04,4.481e+04,4.902e+04,1.059e+05
167.4,1.353e+04,3.681e+04,4.962e+04,9.997e+04
168.9,1.329e+04,2.995e+04,4.661e+04,8.984e+04
170.4,1.230e+04,2.430e+04,4.168e+04,7.827e+04
171.9,1.050e+04,1.936e+04,3.529e+04,6.515e+04
173.5,8.732e+03,1.505e+04,2.893e+04,5.271e+04
175.0,7.913e+03,1.325e+04,2.658e+04,4.774e+04
176.5,7.474e+03,1.252e+04,2.489e+04,4.488e+04
178.0,6.791e+03,1.243e+04,2.224e+04,4.146e+04
179.5,6.390e+03,1.291e+04,2.044e+04,3.974e+04
181.1,5.903e+03,1.392e+04,1.770e+04,3.752e+04
182.6,5.808e+03,1.525e+04,1.583e+04,3.688e+04
184.1,6.030e+03,1.595e+04,1.479e+04,3.676e+04
185.6,6.331e+03,1.605e+04,1.401e+04,3.639e+04
187.1,7.000e+03,1.645e+04,1.386e+04,3.731e+04
188.7,7.946e+03,1.677e+04,1.420e+04,3.892e+04
190.2,8.642e+03,1.775e+04,1.409e+04,4.047e+04
191.7,9.304e+03,1.982e+04,1.398e+04,4.310e+04
193.2,1.005e+04,2.132e+04,1.389e+04,4.527e+04
194.8,1.070e+04,2.106e+04,1.447e+04,4.623e+04
196.3,1.067e+04,1.996e+04,1.429e+04,4.492e+04
197.8,1.075e+04,1.745e+04,1.443e+04,4.263e+04
199.3,1.226e+04,1.532e+04,1.672e+04,4.430e+04
